date,open,high,low,close,volume,amount,turn,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM
2010-01-04,8.84962045,8.93846215,8.7163579,8.74103615,74613558,1332370091.0,0.476493,-1.8837,22.341394,3.869564,6.689706,-14.689435
2010-01-05,8.74103615,8.88417,8.5584171,8.75090745,91401373,1615349974.0,0.583703,0.1129,22.366624,3.873934,6.697261,-14.706024
2010-01-06,8.73116485,8.73116485,8.54361015,8.5682884,77427706,1348702948.0,0.494465,-2.0869,21.899865,3.79309,6.557499,-14.39913
2010-01-07,8.55348145,8.60283795,8.2820207,8.34618415,101943196,1742282280.0,0.651024,-2.5922,21.332184,3.694767,6.387517,-14.025881
2010-01-08,8.3313772,8.3807337,8.2326642,8.34618415,80359862,1351767271.0,0.51319,0.0,21.332184,3.694767,6.387517,-14.025881
2010-01-11,8.8249422,8.83974915,8.291892,8.3609911,146569250,2530625181.0,0.936013,0.1774,21.370029,3.701322,6.398849,-14.050764
2010-01-12,8.3313772,8.47451105,8.11914425,8.42515455,112189832,1879278148.0,0.716461,0.7674,21.534026,3.729726,6.447955,-14.158592
2010-01-13,8.1536938,8.2425355,7.88223305,7.97107475,205223276,3344313047.0,1.310586,-5.3896,20.373434,3.52871,6.100438,-13.395504
2010-01-14,7.995753,8.06978775,7.87236175,8.05991645,124717572,2011436062.0,0.796465,1.1146,20.600506,3.568039,6.16843,-13.544804
2010-01-15,8.03030255,8.1240799,7.91184695,8.05004515,87302199,1417365938.0,0.557525,-0.1225,20.575276,3.563669,6.160876,-13.528215
2010-01-18,7.9463965,8.04017385,7.89210435,7.9858817,96022634,1546142296.0,0.613215,-0.7971,20.411279,3.535265,6.11177,-13.420387
2010-01-19,8.0056243,8.094466,7.9760104,8.02043125,98444269,1601316552.0,0.62868,0.4326,20.499585,3.55056,6.138211,-13.478448
2010-01-20,8.04017385,8.05004515,7.8081983,7.8279409,107880628,1725434301.0,0.688942,-2.4,20.007595,3.465346,5.990894,-13.154966
