date,open,high,low,close,preclose,volume,amount,pctChg
2010-01-04,13766.1,13782.8,13533.54,13533.54,13699.97,5757039200,82353078272.0,-1.214818
2010-01-05,13539.83,13597.36,13324.55,13517.38,13533.54,7178148800,102549000000.0,-0.119408
2010-01-06,13509.39,13677.4,13456.29,13505.18,13517.38,7031112800,103107000000.0,-0.090256
2010-01-07,13514.64,13571.35,13148.25,13235.48,13505.18,7293898400,104327000000.0,-1.997006
2010-01-08,13180.89,13270.62,13040.34,13267.44,13235.48,5843955200,83251650560.0,0.241472
2010-01-11,13559.28,13606.23,13089.88,13161.09,13267.44,7022564800,100369000000.0,-0.801591
2010-01-12,13187.39,13381.25,12993.23,13381.25,13161.09,7731420000,114610000000.0,1.672811
2010-01-13,13031.55,13227.96,12936.32,13016.56,13381.25,8442234400,125646000000.0,-2.725384
2010-01-14,13037.8,13222.22,12965.79,13204.19,13016.56,8219657600,119077000000.0,1.441478
2010-01-15,13247.65,13320.39,13118.25,13264.37,13204.19,7368865600,106152000000.0,0.455762
2010-01-18,13234.11,13373.11,13175.93,13361.52,13264.37,7524822400,107197000000.0,0.732409
2010-01-19,13389.59,13433.06,13318.35,13350.67,13361.52,7529709600,106902000000.0,-0.0812
2010-01-20,13375.53,13389.93,12871.58,12916.15,13350.67,9053362400,129185000000.0,-3.254665
2010-01-21,12928.52,12982.88,12732.96,12917.15,12916.15,5992758000,83615645696.0,0.007742
2010-01-22,12756.92,12756.92,12394.07,12595.93,12917.15,6862593600,95367610368.0,-2.486777
2010-01-25,12506.14,12640.73,12458.56,12470.19,12595.93,4501888000,58690379776.0,-0.998253
2010-01-26,12496.11,12536.47,12091.09,12162.56,12470.19,5220548000,70793207808.0,-2.46693
2010-01-27,12157.14,12233.12,11946.49,12046.78,12162.56,4269500000,59072720896.0,-0.951932
2010-01-28,12008.96,12166.47,11903.99,12120.48,12046.78,4203942400,58900828160.0,0.611783
2010-01-29,12058.7,12339.06,11998.66,12137.2,12120.48,5030986800,68433145856.0,0.137946
2010-02-01,12125.51,12126.26,11841.96,11989.11,12137.2,5289751600,72854241280.0,-1.220132
2010-02-02,12035.93,12173.91,11912.93,11912.93,11989.11,4637433200,62832902144.0,-0.635416
2010-02-03,11961.12,12262.57,11714.16,12262.57,11912.93,6045739200,79677358080.0,2.934968
2010-02-04,12177.15,12283.52,12112.93,12169.48,12262.57,6358896800,80934150144.0,-0.759138
2010-02-05,11892.31,12018.39,11823.07,11917.14,12169.48,6519223200,82496815104.0,-2.073555
2010-02-08,11900.1,11997.66,11847.02,11947.34,11917.14,4157390800,53205651456.0,0.253418
2010-02-09,11935.8,12037.32,11900.28,11970.44,11947.34,3713842800,46760558592.0,0.193353
2010-02-10,12083.0,12185.38,12051.16,12185.38,11970.44,3383370000,47655428096.0,1.795585
2010-02-11,12178.95,12297.41,12152.35,12224.6,12185.38,3296386200,47020900352.0,0.321859
2010-02-12,12259.47,12327.93,12241.61,12304.78,12224.6,3161140000,46492409856.0,0.655896
2010-02-22,12299.11,12337.77,12213.54,12213.54,12304.78,3753772000,51876225024.0,-0.741502
2010-02-23,12185.93,12185.93,11922.73,12069.21,12213.54,4564469600,61432217600.0,-1.181722
2010-02-24,11994.95,12282.09,11936.95,12282.09,12069.21,5968956400,79840559104.0,1.763826
2010-02-25,12324.94,12495.99,12324.94,12494.27,12282.09,7148073600,97890336768.0,1.727554
2010-02-26,12473.0,12527.02,12417.24,12436.66,12494.27,6441850000,90156261376.0,-0.461086
2010-03-01,12480.81,12599.27,12454.03,12588.26,12436.66,6895344000,95365169152.0,1.218974
2010-03-02,12595.32,12690.48,12517.28,12548.91,12588.26,7143650400,97542356992.0,-0.31259
2010-03-03,12544.02,12612.69,12444.2,12612.69,12548.91,7518667200,103057000000.0,0.508254
2010-03-04,12647.99,12720.36,12292.28,12312.89,12612.69,8362555200,114340000000.0,-2.376977
2010-03-05,12312.74,12433.57,12268.55,12341.74,12312.89,5489173600,76740272128.0,0.234312
2010-03-08,12376.33,12470.87,12327.72,12437.57,12341.74,4996812000,69813739520.0,0.776471
2010-03-09,12440.21,12569.56,12289.96,12507.66,12437.57,5723681600,78286749696.0,0.563533
2010-03-10,12496.78,12553.97,12363.41,12391.64,12507.66,5200924000,71968489472.0,-0.927596
2010-03-11,12399.77,12468.93,12277.19,12367.69,12391.64,4704191200,67710038016.0,-0.193269
2010-03-12,12364.57,12376.59,12167.34,12169.11,12367.69,4562935200,68938326016.0,-1.605636
2010-03-15,12154.53,12158.87,11866.99,11903.33,12169.11,3806135600,55626862592.0,-2.184057
2010-03-16,11931.32,11985.03,11835.62,11948.76,11903.33,3541397600,51655184384.0,0.381655
2010-03-17,12007.79,12233.77,11975.58,12233.77,11948.76,5261324400,73558564864.0,2.385267
2010-03-18,12257.85,12354.93,12198.08,12236.72,12233.77,5572452800,79466053632.0,0.024115
2010-03-19,12265.3,12361.21,12185.45,12352.92,12236.72,5619986400,79102705664.0,0.949603
2010-03-22,12358.03,12411.22,12304.5,12352.45,12352.92,5750022000,79609118720.0,-0.003803
2010-03-23,12362.39,12400.25,12280.02,12304.98,12352.45,5610827600,82523193344.0,-0.384294
2010-03-24,12315.61,12359.22,12260.48,12290.04,12304.98,5894790000,89157771264.0,-0.121418
2010-03-25,12266.59,12266.59,12078.26,12086.9,12290.04,6062896000,91152580608.0,-1.65288
2010-03-26,12081.11,12282.26,12030.43,12240.36,12086.9,5065363200,77435289600.0,1.269639
2010-03-29,12301.6,12574.88,12301.6,12552.45,12240.36,6108891600,94307377152.0,2.549679
2010-03-30,12574.8,12617.67,12527.58,12593.04,12552.45,5629965600,88673673216.0,0.323362
2010-03-31,12603.75,12611.43,12469.45,12494.35,12593.04,5905098400,96028852224.0,-0.78369
2010-04-01,12512.41,12689.07,12512.41,12686.06,12494.35,7698604800,119974000000.0,1.534373
2010-04-02,12717.98,12793.71,12707.04,12767.86,12686.06,7531246400,114263000000.0,0.644809
2010-04-06,12824.15,12849.71,12651.11,12702.83,12767.86,7181075200,109351000000.0,-0.509328
2010-04-07,12696.33,12696.33,12561.41,12631.97,12702.83,6478614800,103610000000.0,-0.557831
2010-04-08,12603.25,12603.25,12381.38,12427.0,12631.97,7142186400,115211000000.0,-1.622627
2010-04-09,12452.34,12555.12,12393.52,12555.12,12427.0,6839552000,110625000000.0,1.030982
2010-04-12,12605.95,12625.77,12338.86,12399.2,12555.12,8742017600,137243000000.0,-1.241883
2010-04-13,12387.39,12550.35,12261.27,12511.89,12399.2,9387778400,154708000000.0,0.908845
